%RecordDate (EST)	InstrumentID	Height	AHD Level
%day month year hour min Height AHD_level

11 9 20 0 00		0.971065819	-0.038934181
11 9 20 0 06		0.990471423	-0.019528577
11 9 20 0 12		0.999860883	-0.010139117
11 9 20 0 18		1.003616691	-0.006383309
11 9 20 0 24		1.011545658	0.001545658
11 9 20 0 30		1.024135113	0.014135113
11 9 20 0 36		1.037837148	0.027837148
11 9 20 0 42		1.058076859	0.048076859
11 9 20 0 48		1.067466497	0.057466497
11 9 20 0 54		1.074908614	0.064908614
11 9 20 1 00		1.077829838	0.067829838
11 9 20 1 06		1.088263035	0.078263035
11 9 20 1 12		1.0890975	0.0790975
11 9 20 1 18		1.087567329	0.077567329
11 9 20 1 24		1.083742023	0.073742023
11 9 20 1 30		1.077899337	0.067899337
11 9 20 1 36		1.078664541	0.068664541
11 9 20 1 42		1.082211852	0.072211852
11 9 20 1 48		1.085132957	0.075132957
11 9 20 1 54		1.085619807	0.075619807
11 9 20 2 00		1.104190588	0.094190588
11 9 20 2 06		1.114901423	0.104901423
11 9 20 2 12		1.121857166	0.111857166
11 9 20 2 18		1.099600315	0.089600315
11 9 20 2 24		1.120396614	0.110396614
11 9 20 2 30		1.132220507	0.122220507
11 9 20 2 36		1.131316423	0.121316423
11 9 20 2 42		1.097930908	0.087930908
11 9 20 2 48		1.095009565	0.085009565
11 9 20 2 54		1.088680148	0.078680148
11 9 20 3 00		1.080751061	0.070751061
11 9 20 3 06		1.045279026	0.035279026
11 9 20 3 12		1.044514179	0.034514179
11 9 20 3 18		1.063362837	0.053362837
11 9 20 3 24		1.066353559	0.056353559
11 9 20 3 30		1.068996668	0.058996668
11 9 20 3 36		1.04298377	0.03298377
11 9 20 3 42		1.053416729	0.043416729
11 9 20 3 48		1.042566538	0.032566538
11 9 20 3 54		1.022326589	0.012326589
11 9 20 4 00		1.001878023	-0.008121977
11 9 20 4 06		0.992836118	-0.017163882
11 9 20 4 12		0.974056542	-0.035943458
11 9 20 4 18		0.962928236	-0.047071764
11 9 20 4 24		0.95541656	-0.05458344
11 9 20 4 30		0.947209239	-0.062790761
11 9 20 4 36		0.939349711	-0.070650289
11 9 20 4 42		0.93211627	-0.07788373
11 9 20 4 48		0.917023122	-0.092976878
11 9 20 4 54		0.91660583	-0.09339417
11 9 20 5 00		0.914519072	-0.095480928
11 9 20 5 06		0.894974709	-0.115025291
11 9 20 5 12		0.875360847	-0.134639153
11 9 20 5 18		0.866318941	-0.143681059
11 9 20 5 24		0.859433055	-0.150566945
11 9 20 5 30		0.845870256	-0.164129744
11 9 20 5 36		0.827716887	-0.182283113
11 9 20 5 42		0.80838114	-0.20161886
11 9 20 5 48		0.798295796	-0.211704204
11 9 20 5 54		0.791688383	-0.218311617
11 9 20 6 00		0.773535073	-0.236464927
11 9 20 6 06		0.759624541	-0.250375459
11 9 20 6 12		0.752877831	-0.257122169
11 9 20 6 18		0.745505273	-0.264494727
11 9 20 6 24		0.745574772	-0.264425228
11 9 20 6 30		0.747104943	-0.262895057
11 9 20 6 36		0.74154067	-0.26845933
11 9 20 6 42		0.735558927	-0.274441073
11 9 20 6 48		0.730273008	-0.279726992
11 9 20 6 54		0.718448997	-0.291551003
11 9 20 7 00		0.71719712	-0.29280288
11 9 20 7 06		0.722552657	-0.287447343
11 9 20 7 12		0.711354494	-0.298645506
11 9 20 7 18		0.690766871	-0.319233129
11 9 20 7 24		0.679360032	-0.330639968
11 9 20 7 30		0.668231606	-0.341768394
11 9 20 7 36		0.671361566	-0.338638434
11 9 20 7 42		0.675047755	-0.334952245
11 9 20 7 48		0.686941385	-0.323058615
11 9 20 7 54		0.680751204	-0.329248796
11 9 20 8 00		0.68304652	-0.32695348
11 9 20 8 06		0.686871827	-0.323128173
11 9 20 8 12		0.686106682	-0.323893318
11 9 20 8 18		0.678386331	-0.331613669
11 9 20 8 24		0.680612147	-0.329387853
11 9 20 8 30		0.697721958	-0.312278042
11 9 20 8 36		0.706624925	-0.303375075
11 9 20 8 42		0.710311294	-0.299688706
11 9 20 8 48		0.703147352	-0.306852648
11 9 20 8 54		0.710659146	-0.299340854
11 9 20 9 00		0.725821435	-0.284178565
11 9 20 9 06		0.739106297	-0.270893703
11 9 20 9 12		0.734376729	-0.275623271
11 9 20 9 18		0.747035384	-0.262964616
11 9 20 9 24		0.77520436	-0.23479564
11 9 20 9 30		0.793009877	-0.216990123
11 9 20 9 36		0.794331312	-0.215668688
11 9 20 9 42		0.797739565	-0.212260435
11 9 20 9 48		0.814432383	-0.195567617
11 9 20 9 54		0.826117218	-0.183882782
11 9 20 10 00		0.838288963	-0.171711037
11 9 20 10 06		0.83865875	-0.17134125
11 9 20 10 12		0.852477849	-0.157522151
11 9 20 10 18		0.873969793	-0.136030207
11 9 20 10 24		0.897200465	-0.112799535
11 9 20 10 30		0.908468246	-0.101531754
11 9 20 10 36		0.926691175	-0.083308825
11 9 20 10 42		0.944774747	-0.065225253
11 9 20 10 48		0.958268166	-0.051731834
11 9 20 10 54		0.971900284	-0.038099716
11 9 20 11 00		0.995409429	-0.014590571
11 9 20 11 06		1.021074653	0.011074653
11 9 20 11 12		1.034846306	0.024846306
11 9 20 11 18		1.054807901	0.044807901
11 9 20 11 24		1.079081655	0.069081655
